Gene.symbol,x axis,y axis,Unnamed: 3,Gene.symbol.1,x axis.1,y axis.1,Gene.symbol.2,x axis.2,y axis.2,Unnamed: 10,Gene.symbol.3,x axis.3,y axis.3,Unnamed: 14,Gene.symbol.4,x axis.4,y axis.4,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
AKR1B10,5.53,4.45,,AACS,1.187,6.654,A1BG,-0.195,3.252,,AAGAB,0.411,2.979,,AAAS,0.269,3.483,,,Cirrhotic,Training
ASPM,0.341,10.491,,ABHD10,-0.464,3.391,A1CF,-0.768,3.723,,AAK1,1.168,5.592,,AAK1,0.594,3.848,,,Cirrhotic,Training
AFP,0.864,2.718,,ABHD12B,0.892,2.079,A2M,0.788,3.507,,ABCB1,0.695,3.581,,AAMDC,-0.494,3.914,,,Cirrhotic,Training
KRT23,4.781,8.7,,ABHD18,-0.762,9.996,AADAT,-0.875,3.323,,ABCB4,1.146,3.947,,ABCA2,0.41,3.307,,,HCC,Training
CDKN3,0.682,9.703,,ABI2,-0.533,3.649,ACE2,0.778,3.399,,ABCB8,0.287,2.896,,ACSL5,-0.52,2.791,,,Cirrhotic,Training
DKK1,4.612,4.846,,ABL2,0.957,8.179,ACER3,-0.289,2.387,,ABCC10,0.919,3.119,,ADAM7,-0.325,3.914,,,Cirrhotic,Training
CCNB1,0.586,10.432,,ACTR2,0.418,4.131,ACHE,0.179,2.16,,ABCC3,0.807,3.893,,ADAP1,-0.778,2.878,,,HBV/HCV,testing 
NEK2,4.498,11.033,,ACTR8,0.502,2.219,ACKR1,1.264,6.86,,ABCC4,0.777,3.017,,ADCK1,0.438,5.15,,,Cirrhotic,Training
PEG10,4.449,5.135,,ACYP2,-0.853,6.742,ACKR3,1.071,2.303,,ABCG8,-0.982,4.459,,ADCY10,-0.849,3.433,,,Early,Training
IGF2BP3,4.424,8.12,,ADI1,-0.966,3.417,ACO2,0.381,3.457,,ABHD4,0.687,5.861,,ADD1,0.304,3.926,,,Dysplastic Nodule,Training
UBD///GABBR1,4.406,7.045,,ADM2,3.169,20.954,ACOT11,-0.214,3.687,,ABL2,0.89,3.287,,ADGRE5,-0.992,6.094,,,Cirrhotic,Training
PTTG1,0.39,8.569,,ADSS2,0.758,4.893,ACOT13,-0.675,3.724,,ABLIM1,-0.438,5.936,,AGRN,0.368,2.945,,,Cirrhotic,Training
